"","Var1","Freq"
"1","1",234784
"2","2",45254
"3","3",21485
"4","4",12720
"5","5",8776
"6","6",6488
"7","7",5181
"8","8",4090
"9","9",3392
"10","10",2949
"11","11",2555
"12","12",2191
"13","13",1948
"14","14",1721
"15","15",1558
"16","16",1415
"17","17",1318
"18","18",1187
"19","19",1071
"20","20",1002
"21","21",951
"22","22",901
"23","23",825
"24","24",816
"25","25",686
"26","26",705
"27","27",606
"28","28",645
"29","29",584
"30","30",571
"31","31",551
"32","32",524
"33","33",504
"34","34",434
"35","35",456
"36","36",418
"37","37",449
"38","38",372
"39","39",401
"40","40",399
"41","41",376
"42","42",325
"43","43",354
"44","44",316
"45","45",322
"46","46",304
"47","47",266
"48","48",295
"49","49",268
"50","50",269
"51","51",258
"52","52",247
"53","53",216
"54","54",245
"55","55",232
"56","56",200
"57","57",233
"58","58",224
"59","59",207
"60","60",207
"61","61",211
"62","62",198
"63","63",190
"64","64",164
"65","65",217
"66","66",182
"67","67",168
"68","68",185
"69","69",181
"70","70",158
"71","71",176
"72","72",183
"73","73",155
"74","74",144
"75","75",158
"76","76",147
"77","77",139
"78","78",156
"79","79",155
"80","80",139
"81","81",144
"82","82",130
"83","83",143
"84","84",109
"85","85",121
"86","86",117
"87","87",125
"88","88",129
"89","89",112
"90","90",105
"91","91",118
"92","92",97
"93","93",99
"94","94",101
"95","95",106
"96","96",110
"97","97",106
"98","98",86
"99","99",100
"100","100",104
"101","101",102
"102","102",93
"103","103",95
"104","104",94
"105","105",93
"106","106",93
"107","107",80
"108","108",75
"109","109",88
"110","110",88
"111","111",81
"112","112",85
"113","113",78
"114","114",94
"115","115",86
"116","116",79
"117","117",76
"118","118",89
"119","119",97
"120","120",71
"121","121",73
"122","122",69
"123","123",68
"124","124",79
"125","125",67
"126","126",65
"127","127",82
"128","128",56
"129","129",85
"130","130",56
"131","131",68
"132","132",55
"133","133",65
"134","134",72
"135","135",65
"136","136",55
"137","137",45
"138","138",58
"139","139",61
"140","140",63
"141","141",50
"142","142",53
"143","143",58
"144","144",47
"145","145",53
"146","146",58
"147","147",62
"148","148",52
"149","149",47
"150","150",56
"151","151",49
"152","152",46
"153","153",57
"154","154",51
"155","155",46
"156","156",47
"157","157",58
"158","158",38
"159","159",53
"160","160",50
"161","161",51
"162","162",46
"163","163",48
"164","164",45
"165","165",42
"166","166",38
"167","167",46
"168","168",44
"169","169",34
"170","170",43
"171","171",28
"172","172",49
"173","173",48
"174","174",34
"175","175",55
"176","176",43
"177","177",30
"178","178",37
"179","179",45
"180","180",39
"181","181",37
"182","182",44
"183","183",44
"184","184",33
"185","185",41
"186","186",42
"187","187",28
"188","188",37
"189","189",35
"190","190",43
"191","191",34
"192","192",43
"193","193",37
"194","194",31
"195","195",33
"196","196",34
"197","197",26
"198","198",32
"199","199",30
"200","200",31
"201","201",39
"202","202",32
"203","203",34
"204","204",34
"205","205",27
"206","206",35
"207","207",30
"208","208",27
"209","209",34
"210","210",31
"211","211",38
"212","212",39
"213","213",41
"214","214",25
"215","215",26
"216","216",32
"217","217",35
"218","218",31
"219","219",27
"220","220",27
"221","221",31
"222","222",36
"223","223",29
"224","224",28
"225","225",25
"226","226",23
"227","227",22
"228","228",25
"229","229",31
"230","230",32
"231","231",27
"232","232",24
"233","233",23
"234","234",26
"235","235",27
"236","236",26
"237","237",27
"238","238",18
"239","239",20
"240","240",28
"241","241",22
"242","242",21
"243","243",28
"244","244",21
"245","245",28
"246","246",14
"247","247",26
"248","248",23
"249","249",29
"250","250",26
"251","251",28
"252","252",31
"253","253",21
"254","254",19
"255","255",25
"256","256",19
"257","257",20
"258","258",20
"259","259",19
"260","260",21
"261","261",33
"262","262",15
"263","263",16
"264","264",14
"265","265",13
"266","266",19
"267","267",20
"268","268",14
"269","269",17
"270","270",19
"271","271",19
"272","272",20
"273","273",21
"274","274",23
"275","275",21
"276","276",28
"277","277",23
"278","278",20
"279","279",23
"280","280",12
"281","281",22
"282","282",24
"283","283",16
"284","284",16
"285","285",19
"286","286",17
"287","287",14
"288","288",20
"289","289",25
"290","290",18
"291","291",20
"292","292",23
"293","293",21
"294","294",19
"295","295",23
"296","296",18
"297","297",21
"298","298",20
"299","299",14
"300","300",20
"301","301",18
"302","302",20
"303","303",12
"304","304",8
"305","305",16
"306","306",12
"307","307",21
"308","308",17
"309","309",17
"310","310",15
"311","311",15
"312","312",23
"313","313",21
"314","314",16
"315","315",13
"316","316",15
"317","317",22
"318","318",19
"319","319",23
"320","320",14
"321","321",18
"322","322",14
"323","323",15
"324","324",17
"325","325",15
"326","326",20
"327","327",14
"328","328",15
"329","329",19
"330","330",15
"331","331",20
"332","332",21
"333","333",19
"334","334",14
"335","335",14
"336","336",16
"337","337",11
"338","338",13
